网易体育7月17日讯：就在德罗巴转会炒作的沸沸扬扬之时，穆里尼奥一再重申德罗巴的重要性，因为他认为科特迪瓦人全面的素质无与伦比，德罗巴获得过英超的“助攻王”也获得过“射手王”，这样的球员怎么可能舍得卖？而今夏刚刚从拜仁引进的皮萨罗也不失时机的跳出来，声称自己也是一个全能型的前锋，或许有了皮萨罗切尔西就可以卖德罗巴了？《每日邮报》报道，皮萨罗在采访时提醒了穆里尼奥和球迷们不要期望他在新赛季进太多的球。
“我是一个全能型的球员，这就意味着我有很多方式来为球队作出贡献。”皮萨罗有些自夸的说：“我不是那种一个赛季能打进很多球的前锋，尽管我并不缺少进球。”
皮萨罗作为秘鲁国家队的队长率队参加了刚刚结束的美洲杯，并且他在和玻利维亚的比赛中梅开二度，不过秘鲁在1/4决赛中被阿根廷4-0淘汰，皮萨罗的整体表现并不是很出色。当然，皮萨罗能说这样的话毕竟还是有点底气的：他在德甲八年，一共参加了230场联赛，打进了整整100粒进球，另外他还有38个助攻，这样的效率可以说是很高了，而且他的状态显得非常的稳定(见附表)。正如皮萨罗自己所说，他对俱乐部的贡献绝不止这些表面上的数据，就像美洲杯上巴西队的前锋洛维，这名小个子的前锋只有1个进球，但洛维却是巴西队夺冠的主要功臣之一。
另外，和皮萨罗一样从拜仁自由转会到切尔西的德国国家队队长巴拉克，已经不再是穆里尼奥心中不可动摇的人选，但就目前的情况来看，巴拉克仍旧会是切尔西的中场核心之一。在北京时间明天上午和韩国的水原三星蓝翼队的热身赛上，巴拉克将会和兰帕德搭档打中场的位置，同时穆里尼奥继续祭出双边锋的战术，这是葡萄牙人下赛季重回4-3-2-1战术的征兆。
“(我)和巴拉克说的那些同样是对所有其他球员的讲话，每个人都必须努力去赢得自己的位置。”穆里尼奥说：“球迷们会认为大家都是成年人了，并且这些球员在足球界里都是大名鼎鼎的，因此他们将会并不难管理。巴拉克就是一个很好的例子，而其他人同样和他没有什么区别。”
“大家都热爱这份工作，他们都是非常专业的，并且他们之间有着良好的关系，是那种每天都眼对眼的关系。”穆里尼奥表示：“巴拉克将会和兰帕德打上半场，我一直盼望着能看见他们在一起踢球。巴拉克非常强壮，我感觉90分钟的比赛对他来说并不够，他的精力非常充沛，这每个人都知道，而且我认为他的能力仍旧在不断的提高。”
附表：皮萨罗德甲技术统计
赛季 出场 进球　 助攻
06/07 33　　　8 　　　6
05/06　　26　　　11　　　4
04/05　　23　　　11　　　4
03/04　　31　　　11　　　4
02/03　　31　　　15　　　5　
01/02　　30　　　15　　　3
00/01　　31　　　19　　　7
99/00　　25　　　10　　　5
注：99-01年皮萨罗效力于云达不莱梅。 


