网易体育8月17日消息
根据英格兰媒体的最新消息，纽卡斯尔联有意租借皇马替补前锋萨维奥拉一个赛季。
由于老板阿什利不肯出资，“喜鹊”今夏长时间都在转会市场上没有什么大的动静。不过，在主帅基冈的一再要求下，阿什利终于同意解囊。1300万欧元从拉科鲁尼亚签下阿根廷著名后卫科洛奇尼，这是纽卡斯尔今夏的首笔重要引援。
而根据本周日（17日）出版的《世界新闻报》披露，基冈的下一个目标就是声名远洋的皇马射手萨维奥拉。据悉，过去一周，纽卡斯尔的高层们一直在商讨引进“小兔子”的可能性，最终他们达成共识，那就是租借萨维奥拉一个赛季。尽管近年来逐渐淡出球迷的视线，但萨维奥拉不俗的能力得到了基冈的极大认可。
2007年7月13日，在与巴萨合同到期后，萨维奥拉与皇马签约四年。不过，这位26岁的阿根廷射手依然未能在伯纳乌站稳脚跟。上赛季，萨维奥拉仅仅代表皇马参加了8场西甲联赛，其中5次首发、3次替补，累计出场时间384分钟。在这8场比赛中，萨维奥拉打入3球，皇马取得7胜1平的不败战绩。
此前，萨维奥拉的经纪人证实，这位前阿根廷国脚可以接受到其他球队谋求发展的机会。《世界新闻报》表示，在纽卡斯尔足球执行主管丹尼斯-怀斯和副主席托尼-吉米内斯的磋商下，“喜鹊”目前最有希望得到萨维奥拉。
萨维奥拉职业履历（联赛）
赛季 球队 联赛 出场 进球
07-08 皇马 西甲 8 3
06-07 巴塞罗那 西甲 18 5
05-06 塞维利亚 西甲 29 9
04-05 摩纳哥 法甲 29 8
03-04 巴塞罗那 西甲 33 14
02-03 巴塞罗那 西甲 36 13
01-02 巴塞罗那 西甲 36 17
00-01 河床 阿甲 35 20
99-00 河床 阿甲 33 19
98-99 河床 阿甲 20 7
(本文来源：网易体育  作者：lewilee)


