网易体育消息，北京时间7月29日晚，2007年亚洲杯决赛在雅加达的格罗拉蓬卡诺体育场结束，赛前并不被看好的伊拉克队凭借着队长尤尼斯的进球1-0击败了曾夺得过三届亚洲杯冠军的沙特阿拉伯队，成为了亚洲杯历史上第7支冠军球队。至此，亚洲杯落下帷幕，保守饥困的伊拉克人笑到了最后，而中国队小组即遭淘汰，创造了中国队亚洲杯历史上的最差的出入纪录。
伊拉克夺冠尽显黑马本色 传统豪强表现差令人遗憾
几乎所有人都没有料想到本届亚洲杯的冠军将落在饱受战争困扰的伊拉克人身上，然而，小组赛便能够3-1痛宰夺冠大热门澳大利亚队足以看出这批黑马已渐露头角，特别是半决赛凭借着顽强的意志和拼搏精神战胜了劲敌韩国队足以看出这支球队的韧性，决赛中，他们又一鼓作气，击败了淘汰卫冕冠军日本队的沙特队，尽显黑马本色。相比之下，获得亚军的沙特队虽然同伊拉克携手晋级决赛创造了11年后西亚球队再次压倒东亚的历史，但作为三届亚洲杯冠军得主未能实习四冠的梦想多少令人有些遗憾。而卫冕冠军日本队和太极虎韩国队尽管夺冠呼声很高，但双双被挡在决赛门外令人十分遗憾。
伊朗队无奈“点球”止步八强 国足小组遭淘汰历史最差
作为夺冠大热门伊朗队，尽管球队对冠军虎视眈眈，但命运再次让他们重温04年点球的旧梦，而止步八强，仅名列第5位。同病相怜的还有首次参加亚洲杯的澳大利亚队，面对老对手日本队，点球告负，无缘四强。中亚狼乌兹别克斯坦对实力不俗，表现慎用，排在第6位。最令人遗憾无比的是高喊进四强的中国队，按照国际足联赛绘制排名规则，未进入淘汰赛的中国队仅仅名列第9位，也创造了31年以来参加亚洲杯的最差成绩。
东道主越南晋级八强显威力 鱼腩球队陪太子读书
作为本届东道主之一的越南队，表现出了惊人，凭借着天时地利任何的主场优势，以小组第二跻身八强，虽然1/4决赛不敌冠军伊拉克队，但能够淘汰西亚狼卡塔尔和
酋闯进八强已经是越南足球的胜利了。相比之下，其他几个东道主虽然拼尽全力，无奈实力不济，只能扮演陪太子读书的角色。泰国和印尼两支东道主能够对澳大利亚和韩国队造成威胁已经将他们的能力发挥到极致了。而与中国队同组的东道主马来西亚队表现不佳，三场小组赛失12球，成本届亚洲杯最具奉献精神的球队，名列末席。
本届亚洲杯最终排名
名次 队伍 场次 胜 平 负 进球 失球 积分
1 伊拉克 6 3 3 0 7 2 12
2 沙特 6 4 1 1 12 6 13
3 韩国 6 1 4 1 3 3 7
4 日本 6 2 3 1 11 7 9
5 伊朗 4 2 2 0 6 3 8 
6 乌兹别克 4 2 0 2 10 4 6 
7 澳大利亚 4 1 2 1 7 5 5
8 越南 4 1 1 2 4 7 4 
9 中国 3 1 1 1 7 6 4 
10 泰国 3 1 1 1 3 5 4 
11 印尼 3 1 0 2 3 4 3 
12 阿联酋 3 1 0 2 3 6 3 
13 巴林 3 1 0 2 3 7 3 
14 卡塔尔 3 0 2 1 3 4 2 
15 阿曼 3 0 2 1 1 3 2 
16 马来西亚 3 0 0 3 1 12 0
(点球决胜负的比赛以120分钟比分为准)


